City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Buala,SB,77.41,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
4,Atuona,PF,78.64,few clouds,-9.8,-139.0333,Villa Enata
14,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
22,Olinda,BR,83.93,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
25,Illela,NG,84.45,clear sky,13.7292,5.2975,
28,Manaure,CO,88.05,overcast clouds,11.7751,-72.4445,Hotel Palaaima
32,Arlit,NE,87.93,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
35,Rikitea,PF,75.6,scattered clouds,-23.1203,-134.9692,People ThankYou
36,Miraflores,MX,84.02,broken clouds,19.2167,-98.8083,Hotel Mansión
38,Fernandina Beach,US,85.01,clear sky,30.6697,-81.4626,Hampton Inn Amelia Island at Fernandina Beach
39,Natal,BR,81.25,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
40,Hilo,US,79.25,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
44,Arraial Do Cabo,BR,76.86,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
45,Rayong,TH,81.79,overcast clouds,12.8333,101.4333,Suan Palm Garden View Hotel
50,Cayenne,GF,77.09,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
59,Kieta,PG,76.12,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
60,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Pirineos
63,Karratha,AU,82.58,clear sky,-20.7377,116.8463,ibis Styles Karratha
68,Half Moon Bay,US,77.41,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
71,Kavieng,PG,80.2,moderate rain,-2.5744,150.7967,Nusa Island Retreat
72,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
73,Neiafu,TO,84.88,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
78,Caravelas,BR,78.33,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
82,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
86,Lorengau,PG,79.25,very heavy rain,-2.0226,147.2712,Lorengau Harbourside Hotel
87,Mainaguri,IN,75.47,broken clouds,26.5667,88.8167,Suncity Resort Lataguri
88,Salaga,GH,82.71,overcast clouds,8.5508,-0.5188,Bore Nada Guest House
89,Guaymas,MX,82.89,scattered clouds,27.9333,-110.9,"Holiday Inn Express Guaymas, an IHG Hotel"
103,Iracoubo,GF,77.05,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
104,Hithadhoo,MV,82.58,clear sky,-0.6,73.0833,Scoop Guest House
107,Mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
108,Dwarka,IN,78.57,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
113,Soyo,AO,79.21,overcast clouds,-6.1349,12.3689,Hotel Mpampa
117,Bocas Del Toro,PA,81.66,few clouds,9.3333,-82.25,Hotel Bocas del Toro
