City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
0,Buala,-8.145,159.5921,77.41,87,100,3.04,SB,2022-04-01 21:12:03,overcast clouds
1,Nikolskoye,59.7035,30.7861,28.71,95,75,2.86,RU,2022-04-01 21:12:04,broken clouds
2,Cape Town,-33.9258,18.4232,65.12,71,0,5.99,ZA,2022-04-01 21:10:40,clear sky
3,Bredasdorp,-34.5322,20.0403,63.84,73,93,12.3,ZA,2022-04-01 21:12:42,light rain
4,Atuona,-9.8,-139.0333,78.64,78,24,7.61,PF,2022-04-01 21:12:01,few clouds
5,Punta Arenas,-53.15,-70.9167,44.71,70,0,16.11,CL,2022-04-01 21:11:40,clear sky
6,Busselton,-33.65,115.3333,69.75,82,100,7.43,AU,2022-04-01 21:12:42,overcast clouds
7,Mataura,-46.1927,168.8643,48.0,82,21,2.59,NZ,2022-04-01 21:12:43,few clouds
8,Qaqortoq,60.7167,-46.0333,38.28,75,72,1.74,GL,2022-04-01 21:12:06,broken clouds
9,Hermanus,-34.4187,19.2345,62.8,78,25,13.8,ZA,2022-04-01 21:12:07,light rain
10,Thompson,55.7435,-97.8558,28.11,94,100,11.68,CA,2022-04-01 21:12:07,light snow
11,Itoman,26.1247,127.6694,64.42,80,100,14.97,JP,2022-04-01 21:12:08,overcast clouds
12,Frontignan,43.4485,3.754,42.75,59,6,29.82,FR,2022-04-01 21:12:09,clear sky
13,Dalianwan,39.0286,121.695,41.04,42,0,2.24,CN,2022-04-01 21:12:44,clear sky
14,Avarua,-21.2078,-159.775,84.25,74,83,10.36,CK,2022-04-01 21:12:09,broken clouds
15,Revda,56.801,59.9303,22.64,98,100,2.19,RU,2022-04-01 21:12:10,overcast clouds
16,Rudbar,30.15,62.6,72.68,9,0,5.95,AF,2022-04-01 21:12:10,clear sky
17,Port Elizabeth,-33.918,25.5701,64.31,85,43,5.99,ZA,2022-04-01 21:12:11,scattered clouds
18,Vostok,46.4856,135.8833,9.57,92,9,5.64,RU,2022-04-01 21:12:11,clear sky
19,Kyra,49.5776,111.9753,22.59,86,75,3.62,RU,2022-04-01 21:12:12,broken clouds
20,Micomeseng,2.1462,10.6164,70.75,98,100,2.84,GQ,2022-04-01 21:12:12,overcast clouds
21,Airai,-8.9266,125.4092,56.77,77,63,1.77,TL,2022-04-01 21:12:13,broken clouds
22,Olinda,-8.0089,-34.8553,83.93,70,75,8.05,BR,2022-04-01 21:12:13,broken clouds
